Tests bloquedos con '#', desbloquee el cual desee evaluar.
Prueba en SeisCuartos con un agente aleatorio.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteAleatorio_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    50    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    51    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    52    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    53    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    54    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    55    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    56    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    57    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    58    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    59    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    60    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    61    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    62    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    63    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    64    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    65    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    66    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    67    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    68    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    69    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    70    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    71    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    72    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    73    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    74    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    75    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    76    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    77    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    78    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    79    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
